Category: All categories

Month,Python: (Worldwide),Java: (Worldwide),C: (Worldwide),MATLAB: (Worldwide),Assembly language: (Worldwide)
2004-01,6,93,19,6,3
2004-02,7,98,21,8,3
2004-03,7,100,20,8,3
2004-04,6,97,20,8,3
2004-05,6,93,19,7,3
2004-06,6,93,19,6,3
2004-07,7,92,18,6,3
2004-08,7,90,17,5,2
2004-09,7,94,18,7,3
2004-10,7,93,19,7,3
2004-11,6,90,18,7,3
2004-12,6,91,17,6,3
2005-01,6,86,16,5,2
2005-02,6,88,17,6,2
2005-03,6,86,17,6,2
2005-04,6,86,17,7,2
2005-05,7,81,16,6,2
2005-06,6,82,16,5,2
2005-07,6,78,15,4,2
2005-08,6,74,14,4,2
2005-09,6,73,15,5,2
2005-10,7,75,16,6,2
2005-11,6,75,16,6,2
2005-12,6,73,14,5,2
2006-01,6,71,13,4,2
2006-02,6,70,14,5,2
2006-03,6,70,14,6,2
2006-04,6,67,14,6,2
2006-05,6,67,14,5,1
2006-06,5,64,13,5,1
2006-07,6,61,12,4,1
2006-08,6,61,12,4,1
2006-09,6,60,13,4,1
2006-10,6,63,14,5,1
2006-11,6,64,14,5,1
2006-12,6,60,12,4,1
2007-01,6,59,12,4,1
2007-02,6,61,12,4,1
2007-03,6,62,12,5,1
2007-04,6,60,12,5,1
2007-05,6,61,12,5,1
2007-06,5,58,12,4,1
2007-07,6,55,11,4,1
2007-08,5,57,11,3,1
2007-09,6,54,12,4,1
2007-10,6,58,13,5,1
2007-11,5,56,12,5,1
2007-12,5,53,11,4,1
2008-01,5,50,10,4,1
2008-02,5,51,11,4,1
2008-03,5,52,11,5,1
2008-04,6,52,11,5,1
2008-05,5,50,11,4,1
2008-06,5,50,10,4,1
2008-07,5,48,10,4,1
2008-08,5,47,10,3,1
2008-09,5,48,11,4,1
2008-10,5,49,11,5,1
2008-11,5,48,11,5,1
2008-12,5,45,10,4,1
2009-01,5,45,10,4,1
2009-02,6,47,11,4,1
2009-03,6,50,12,5,1
